@@,name,position
->,Hadi Tjahjanto->Sofyan A. Djalil,Minister of Agrarian and Spatial Planning
---,Andika Perkasa,Commander of the Indonesian National Armed Forces
+++,Tjahjo Kumolo,Minister of State Apparatus Empowerment and Bureaucratic Reform
+++,Sofyan A. Djalil,Head of the National Land Agency
+++,Marshal Hadi Tjahjanto,Commander of the Indonesian National Defense Forces
