province,provinceLabel,person,personLabel
Q1823,Aceh,Q12500925,Nova Iriansyah
Q2140,Sumatra Utara,Q19725548,Edy Rahmayadi
Q2772,Sumatra Barat,Q17410383,Mahyeldi
Q2175,Riau,Q61119218,Syamsuar
Q2051,Jambi,Q25466192,Al Haris
Q2271,Sumatra Selatan,Q16180910,Herman Deru
Q1890,Bengkulu,Q25467863,Rohidin Mersyah
Q2110,Lampung,Q56416583,Arinal Djunaidi
Q1866,Kepulauan Bangka Belitung,Q25468911,Erzaldi Rosman Djohan
Q2223,Kepulauan Riau,Q49250480,Ansar Ahmad
Q3630,Daerah Khusus Ibukota Jakarta,Q4263230,Anies Baswedan
Q3724,Jawa Barat,Q7333042,Ridwan Kamil
Q3557,Jawa Tengah,Q12483474,Ganjar Pranowo
Q3741,Daerah Istimewa Yogyakarta,Q2669342,Hamengkubawana X
Q3586,Jawa Timur,Q12491600,Khofifah Indar Parawansa
Q3540,Banten,Q17411648,Wahidin Halim
Q3125978,Bali,Q54805204,I Wayan Koster
Q5062,Nusa Tenggara Barat,Q49255869,Zulkieflimansyah
Q5061,Nusa Tenggara Timur,Q18421325,Viktor Laiskodat
Q3916,Kalimantan Barat,Q17411498,Sutarmidji
Q3891,Kalimantan Tengah,Q25469637,Sugianto Sabran
Q3906,Kalimantan Selatan,Q25467522,Sahbirin Noor
Q3899,Kalimantan Timur,Q12486828,Isran Noor
Q3903,Kalimantan Utara,Q107366847,Zainal Arifin Paliwang
Q5068,Sulawesi Utara,Q25467525,Olly Dondokambey
Q5065,Sulawesi Tengah,Q12509193,Rusdy Mastura
Q5078,Sulawesi Selatan,Q49252587,Andi Sudirman Sulaiman
Q5075,Sulawesi Tenggara,Q12471485,Ali Mazi
Q5067,Gorontalo,Q10860321,Rusli Habibie
Q5082,Sulawesi Barat,Q40168296,Ali Baal Masdar
Q5093,Maluku,Q19943861,Murad Ismail
Q5094,Maluku Utara,Q16162222,Abdul Ghani Kasuba
Q5096,Papua Barat,Q16175168,Dominggus Mandacan
Q5095,Papua,Q12495539,Lukas Enembe
