@@,province,provincelabel,person,personlabel
->,Q5096,Papua Barat,NULL->Q16175168,NULL->Dominggus Mandacan
->,Q5095,Papua,NULL->Q12495539,NULL->Lukas Enembe
->,Q5094,Maluku Utara,NULL->Q16162222,NULL->Abdul Ghani Kasuba
->,Q5093,Maluku,NULL->Q19943861,NULL->Murad Ismail
->,Q5082,Sulawesi Barat,NULL->Q40168296,NULL->Ali Baal Masdar
->,Q5078,Sulawesi Selatan,Q19752310->Q49252587,Nurdin Abdullah->Andi Sudirman Sulaiman
->,Q5075,Sulawesi Tenggara,NULL->Q12471485,NULL->Ali Mazi
->,Q5068,Sulawesi Utara,NULL->Q25467525,NULL->Olly Dondokambey
->,Q5067,Gorontalo,NULL->Q10860321,NULL->Rusli Habibie
->,Q5065,Sulawesi Tengah,NULL->Q12509193,NULL->Rusdy Mastura
->,Q5062,Nusa Tenggara Barat,NULL->Q49255869,NULL->Zulkieflimansyah
->,Q5061,Nusa Tenggara Timur,NULL->Q18421325,NULL->Viktor Laiskodat
->,Q3916,Kalimantan Barat,NULL->Q17411498,NULL->Sutarmidji
->,Q3906,Kalimantan Selatan,NULL->Q25467522,NULL->Sahbirin Noor
->,Q3903,Kalimantan Utara,NULL->Q107366847,NULL->Zainal Arifin Paliwang
->,Q3899,Kalimantan Timur,NULL->Q12486828,NULL->Isran Noor
->,Q3891,Kalimantan Tengah,NULL->Q25469637,NULL->Sugianto Sabran
->,Q3741,Daerah Istimewa Yogyakarta,NULL->Q2669342,NULL->Hamengkubawana X
->,Q3724,Jawa Barat,NULL->Q7333042,NULL->Ridwan Kamil
->,Q3630,Jakarta->Daerah Khusus Ibukota Jakarta,NULL->Q4263230,NULL->Anies Baswedan
->,Q3586,Jawa Timur,NULL->Q12491600,NULL->Khofifah Indar Parawansa
->,Q3540,Banten,NULL->Q17411648,NULL->Wahidin Halim
->,Q3125978,Bali,NULL->Q54805204,NULL->I Wayan Koster
->,Q2271,Sumatra Selatan,NULL->Q16180910,NULL->Herman Deru
->,Q2223,Kepulauan Riau,NULL->Q49250480,NULL->Ansar Ahmad
->,Q2175,Riau,Q15939327->Q61119218,Annas Maamun->Syamsuar
->,Q2140,Sumatra Utara,NULL->Q19725548,NULL->Edy Rahmayadi
->,Q2110,Lampung,NULL->Q56416583,NULL->Arinal Djunaidi
->,Q2051,Jambi,NULL->Q25466192,NULL->Al Haris
->,Q1890,Bengkulu,NULL->Q25467863,NULL->Rohidin Mersyah
->,Q1866,Kepulauan Bangka Belitung,NULL->Q25468911,NULL->Erzaldi Rosman Djohan
->,Q1823,Aceh,NULL->Q12500925,NULL->Nova Iriansyah
