@@,itemlabel,item,startdate,enddate
+++,Achmad Soebardjo,Q4250968,1945-09-02,1945-11-14
+++,Sutan Syahrir,Q2470857,1945-11-14,1946-02-28
+++,Sutan Syahrir,Q2470857,1946-03-12,1946-10-02
+++,Sutan Syahrir,Q2470857,1946-10-02,1947-06-27
+++,Agus Salim,Q118629,1947-07-03,1947-11-11
+++,Agus Salim,Q118629,1947-11-11,1948-01-23
+++,Agus Salim,Q118629,1948-01-29,1949-08-04
+++,Syafrudin Prawiranegara,Q4201482,1948-12-19,1949-03-31
+++,Alexander Andries Maramis,Q12682432,1949-03-31,1949-07-13
+++,Agus Salim,,1949-08-04,1949-10-21
+++,Hamengkubuwana IX,Q76227,1949-10-21,1949-12-14
+++,Mohammad Hatta,Q29050,1949-12-20,1950-09-06
+++,Mohammad Roem,Q2746664,1950-09-06,1951-04-27
+++,Achmad Soebardjo,,1951-04-27,1952-04-03
+++,Wilopo,Q2091244,1952-04-03,1952-04-29
+++,Moekarto Notowidigdo,Q12498729,1952-04-29,1953-06-03
+++,Soenario Sastrowardoyo,Q4446092,1953-08-01,1955-07-24
+++,Ide Anak Agung Gde Agung,Q981536,1955-08-11,1956-03-03
+++,Roeslan Abdulgani,Q967941,1956-03-26,1957-01-28
+++,Ali Sastroamidjojo,Q2669326,1957-01-28,1957-03-14
+++,Soebandrio,Q1306699,1957-04-09,1959-07-05
+++,Soebandrio,Q1306699,1959-07-10,1960-02-18
+++,Soebandrio,Q1306699,1960-02-18,1962-03-06
+++,Soebandrio,Q1306699,1962-03-06,1963-11-13
+++,Soebandrio,Q1306699,1963-11-13,1964-08-27
+++,Soebandrio,Q1306699,1964-08-27,1966-02-22
+++,Soebandrio,Q1306699,1966-02-24,1966-03-18
+++,Adam Malik,Q76297,1966-03-18,1966-03-27
+++,Adam Malik,Q76297,1966-03-31,1966-07-25
+++,Adam Malik,Q76297,1966-07-28,1967-10-11
+++,Adam Malik,Q76297,1967-10-17,1968-06-10
+++,Adam Malik,Q76297,1968-06-10,1973-03-28
+++,Adam Malik,Q76297,1973-03-28,1977-10-01
+++,Syarif Thayeb,Q17411574,1977-10-01,1978-03-11
+++,Mochtar Kusumaatmadja,Q4200159,1978-03-31,1983-03-11
+++,Mochtar Kusumaatmadja,Q4200159,1983-03-19,1988-03-11
+++,Ali Alatas,Q957483,1988-03-21,1993-03-11
+++,Ali Alatas,Q957483,1993-03-17,1998-03-11
+++,Ali Alatas,Q957483,1998-03-16,1998-05-21
+++,Ali Alatas,Q957483,1998-05-23,1999-10-20
->,Hassan Wirajuda,Q183581,2001-08-10,2009-10-20->2004-10-20
+++,Hassan Wirajuda,Q183581,2004-10-21,2009-10-20
->,Retno Marsudi,Q18342668,2014-10-27,NULL->2019-10-20
+++,Retno Marsudi,Q18342668,2019-10-23,
