@@,itemlabel,item,startdate,enddate
+++,Boentaran Martoatmodjo,Q16171106,1945-08-19,1945-11-14
+++,Darma Setiawan,Q85990574,1945-11-14,1946-03-12
+++,Darma Setiawan,Q85990574,1946-03-12,1946-10-02
+++,Darma Setiawan,Q85990574,1946-10-02,1947-06-26
+++,Johannes Leimena,Q2642883,1947-07-03,1947-11-11
+++,Johannes Leimena,Q2642883,1947-11-11,1948-01-29
+++,Johannes Leimena,Q2642883,1948-01-29,1949-08-04
+++,Mananti Sitompoel,Q109934104,1948-12-19,1949-03-14
+++,Soekiman Wirjosandjojo,Q289858,1949-03-14,1949-07-13
+++,Surono(ad-interim),,1949-08-04,1949-12-01
+++,Johannes Leimena,Q2642883,1949-12-01,1949-12-14
+++,Johannes Leimena,Q2642883,1949-12-20,1950-09-06
+++,Sutopo,,1950-01-21,1950-09-06
+++,Johannes Leimena,Q2642883,1950-09-06,1951-04-27
+++,Johannes Leimena,Q2642883,1951-04-27,1952-02-23
+++,Johannes Leimena,Q2642883,1952-04-03,1953-06-03
+++,Ferdinand Lumbantobing,Q11188587,1953-08-01,1953-10-09
+++,Moh. Ali Lie Kiat Teng,Q12494804,1953-10-09,1955-07-24
+++,Johannes Leimena,Q2642883,1955-08-12,1956-03-03
+++,Hadrianus Sinaga,Q28723855,1956-03-24,1957-03-14
+++,Abdul Azis Saleh,Q12470542,1957-04-09,1959-07-06
+++,Satrio,Q12512336,1959-07-10,1960-02-18
+++,Satrio,Q12512336,1960-02-18,1962-03-06
+++,Satrio,Q12512336,1962-03-06,1963-11-13
+++,Satrio,Q12512336,1963-11-13,1964-08-27
+++,Satrio,Q12512336,1964-08-27,1966-02-22
+++,Satrio,Q12512336,1966-02-24,1966-03-28
+++,Satrio,Q12512336,1966-03-31,1966-07-25
+++,Gerrit Augustinus Siwabessy,Q5511990,1966-07-28,1967-10-17
+++,Gerrit Augustinus Siwabessy,Q5511990,1967-10-17,1968-06-06
+++,Gerrit Augustinus Siwabessy,Q5511990,1968-06-06,1973-03-28
+++,Gerrit Augustinus Siwabessy,Q5511990,1973-03-28,1978-03-29
+++,Suwardjono Surjaningrat,Q12518256,1978-03-29,1983-03-11
+++,Suwardjono Surjaningrat,Q12518256,1983-03-19,1988-03-11
+++,Adhyatma,Q56399770,1988-03-21,1993-03-11
+++,Sujudi,Q17411455,1993-03-17,1998-03-11
+++,Faried Anfasa Moeloek,Q13092954,1998-03-16,1998-05-21
+++,Faried Anfasa Moeloek,Q13092954,1998-05-23,1999-10-20
+++,Achmad Sujudi,Q13091459,1999-10-26,2001-07-23
+++,Achmad Sujudi,Q13091459,2001-08-10,2004-10-20
+++,Siti Fadilah Supari,Q3118591,2004-10-21,2009-10-20
+++,Endang Rahayu Sedyaningsih,Q469616,2009-10-22,2012-04-30
+++,Ali Ghufron Mukti,Q12471480,2012-04-30,2012-06-14
+++,Nafsiah Mboi,Q12499835,2012-06-14,2014-10-20
