item,itemLabel,position,positionLabel,province,provinceLabel,startDate
Q19723670,Achmad Marzuki,,Governor of Aceh,Q1823,Aceh,2022-07-06
Q19725548,Edy Rahmayadi,,Governor of Sumatra Utara,Q2140,Sumatra Utara,2018-09-05
Q17410383,Mahyeldi,,Governor of Sumatra Barat,Q2772,Sumatra Barat,2021-02-25
Q61119218,Syamsuar,,Governor of Riau,Q2175,Riau,2019-02-20
Q25466192,Al Haris,,Governor of Jambi,Q2051,Jambi,2021-07-07
Q16180910,Herman Deru,,Governor of Sumatra Selatan,Q2271,Sumatra Selatan,2018-10-01
Q25467863,Rohidin Mersyah,,Governor of Bengkulu,Q1890,Bengkulu,2021-02-25
Q56416583,Arinal Djunaidi,,Governor of Lampung,Q2110,Lampung,2019-06-12
,Ridwan Djamaluddin,,Governor of Kepulauan Bangka Belitung,Q1866,Kepulauan Bangka Belitung,2022-05-12
Q49250480,Ansar Ahmad,,Governor of Kepulauan Riau,Q2223,Kepulauan Riau,2021-02-25
Q4263230,Anies Rasyid Baswedan,,Governor of Daerah Khusus Ibukota Jakarta,Q3630,Daerah Khusus Ibukota Jakarta,2017-10-16
Q7333042,Ridwan Kamil,,Governor of Jawa Barat,Q3724,Jawa Barat,2018-09-05
Q12483474,Ganjar Pranowo,,Governor of Jawa Tengah,Q3557,Jawa Tengah,2018-09-05
Q2669342,Hamengkubawana X,,Governor of Daerah Istimewa Yogyakarta,Q3741,Daerah Istimewa Yogyakarta,2017-10-10
Q12491600,Khofifah Indar Parawansa,,Governor of Jawa Timur,Q3586,Jawa Timur,2019-02-13
,Al Muktabar,,Governor of Banten,Q3540,Banten,2022-05-12
Q54805204,I Wayan Koster,,Governor of Bali,Q3125978,Bali,2018-09-05
Q49255869,Zulkieflimansyah,,Governor of Nusa Tenggara Barat,Q5062,Nusa Tenggara Barat,2018-09-19
Q18421325,Viktor Laiskodat,,Governor of Nusa Tenggara Timur,Q5061,Nusa Tenggara Timur,2018-09-05
Q17411498,Sutarmidji,,Governor of Kalimantan Barat,Q3916,Kalimantan Barat,2018-09-05
Q25469637,Sugianto Sabran,,Governor of Kalimantan Tengah,Q3891,Kalimantan Tengah,2021-05-25
Q25467522,Sahbirin Noor,,Governor of Kalimantan Selatan,Q3906,Kalimantan Selatan,2021-08-25
Q12486828,Isran Noor,,Governor of Kalimantan Timur,Q3899,Kalimantan Timur,2018-10-01
Q107366847,Zainal Arifin Paliwang,,Governor of Kalimantan Utara,Q3903,Kalimantan Utara,2021-02-15
Q25467525,Olly Dondokambey,,Governor of Sulawesi Utara,Q5068,Sulawesi Utara,2021-02-15
Q12509193,Rusdy Mastura,,Governor of Sulawesi Tengah,Q5065,Sulawesi Tengah,2021-06-16
Q49252587,Andi Sudirman Sulaiman,,Governor of Sulawesi Selatan,Q5078,Sulawesi Selatan,2022-03-10
Q12471485,Ali Mazi,,Governor of Sulawesi Tenggara,Q5075,Sulawesi Tenggara,2018-09-05
Q111982395,Hamka Hendra Noer,,Governor of Gorontalo,Q5067,Gorontalo,2022-05-12
Q109435196,Akmal Malik,,Governor of Sulawesi Barat,Q5082,Sulawesi Barat,2022-05-12
Q19943861,Murad Ismail,,Governor of Maluku,Q5093,Maluku,2019-04-24
Q16162222,Abdul Ghani Kasuba,,Governor of Maluku Utara,Q5094,Maluku Utara,2019-05-10
Q12503830,Paulus Waterpauw,,Governor of Papua Barat,Q5096,Papua Barat,2022-05-12
Q12495539,Lukas Enembe,,Governor of Papua,Q5095,Papua,2018-09-05
