item,itemLabel,position,positionLabel,province,provinceLabel,startDate,source,sourceDate,psid
Q107366847,Zainal Arifin Paliwang,Q97097789,Gubernur Kalimantan Utara,Q3903,Kalimantan Utara,2021-02-15,,,Q107366847-6B4233D3-F084-4FF3-B274-9A395E049957
Q112111125,Ridwan Djamaluddin,Q102251466,Gubernur Kepulauan Bangka Belitung,Q1866,Kepulauan Bangka Belitung,2022-05-12,,,Q112111125-28F36B87-14C3-4904-982D-96BA6A524F83
Q49250480,Ansar Ahmad,Q102251467,Gubernur Kepulauan Riau,Q2223,Kepulauan Riau,2021-02-25,,,Q49250480-E345D559-B7CF-434D-8BE7-55B2BF63F715
Q56416583,Arinal Djunaidi,Q102251468,Gubernur Lampung,Q2110,Lampung,2019-06-12,,,Q56416583-1CEE7D50-6067-46E8-9DE3-BCC332D61273
Q19943861,Murad Ismail,Q74254596,Gubernur Maluku,Q5093,Maluku,2019-04-24,,,Q19943861-B7B4F4D3-C7FD-4466-A59B-B3E12A136974
Q16162222,Abdul Ghani Kasuba,Q102251470,Gubernur Maluku Utara,Q5094,Maluku Utara,2014-05-05,,,Q16162222-296B1ACA-B2E3-44C8-8D70-2F538BA6E8C6
Q49255869,Zulkieflimansyah,Q102251471,Gubernur Nusa Tenggara Barat,Q5062,Nusa Tenggara Barat,2018-09-19,,,Q49255869-8CC96FA9-9E49-4DD4-AD51-8535A13FCC86
Q18421325,Viktor Laiskodat,Q98073406,Gubernur Nusa Tenggara Timur,Q5061,Nusa Tenggara Timur,2018-09-05,https://id.wikipedia.org/wiki/Daftar_gubernur_dan_wakil_gubernur_petahana_di_Indonesia,2022-07-05,Q18421325-A9C400A6-D093-43F8-B350-BB7B3F4AD45E
Q12495539,Lukas Enembe,Q75697367,Gubernur Papua,Q5095,Papua,2013-04-09,,,Q12495539-C17DA8CA-0917-434A-80FC-C5EE519FC36F
Q12503830,Paulus Waterpauw,Q75697563,Gubernur Papua Barat,Q5096,Papua Barat,2022-05-12,,,Q12503830-b981fa54-4459-22cb-0c02-52599270e473
Q61119218,Syamsuar,Q15939406,Gubernur Riau,Q2175,Riau,2019-02-20,,,Q61119218-109D8956-4924-430F-9601-78D4B255E4D3
Q109435196,Akmal Malik,Q102251474,Gubernur Sulawesi Barat,Q5082,Sulawesi Barat,2022-05-12,,,Q109435196-33583A0F-A54E-4152-9E0E-552C9D7D8290
Q49252587,Andi Sudirman Sulaiman,Q74374433,Gubernur Sulawesi Selatan,Q5078,Sulawesi Selatan,2022-03-10,,,Q49252587-E468ED81-C104-43EB-8564-5148B26140C0
Q12509193,Rusdy Mastura,Q102251475,Gubernur Sulawesi Tengah,Q5065,Sulawesi Tengah,2021-06-16,https://id.wikipedia.org/wiki/Daftar_gubernur_dan_wakil_gubernur_petahana_di_Indonesia,2022-07-05,Q12509193-1E3E2D40-E318-4189-ADFE-FB4ADFEA124A
Q12471485,Ali Mazi,Q102251478,Gubernur Sulawesi Tenggara,Q5075,Sulawesi Tenggara,2018-09-05,,,Q12471485-D3E3C607-7D35-4525-9C92-C5CD47AB74EC
Q25467525,Olly Dondokambey,Q20668532,Gubernur Sulawesi Utara,Q5068,Sulawesi Utara,2021-02-15,,,Q25467525-FDF99C47-B4EF-4F9C-88E1-6295BC072CD7
Q17410383,Mahyeldi,Q102251479,Gubernur Sumatra Barat,Q2772,Sumatra Barat,2021-02-25,,,Q17410383-3ae2262b-4de7-ac95-df9b-725296ffd559
Q16180910,Herman Deru,Q98766672,Gubernur Sumatra Selatan,Q2271,Sumatra Selatan,2018-10-01,,,Q16180910-A6B771E1-32EF-4D80-9863-B05857EDCCED
Q19725548,Edy Rahmayadi,Q66716873,Gubernur Sumatra Utara,Q2140,Sumatra Utara,2018-09-05,,,Q19725548-9fc3214e-76a2-45dd-a3f9-c58268bd70e6
