item,itemLabel,position,positionLabel,province,provinceLabel,startDate,source,sourceDate,psid
Q109434839,Safrizal ZA,Q102251452,Gubernur Aceh,Q1823,Aceh,2022-07-05,,,Q109434839-09f92e1a-49e6-51b0-4453-435ad0b82f0f
Q54805204,I Wayan Koster,Q98073913,Gubernur Bali,Q3125978,Bali,2018-09-05,https://id.wikipedia.org/wiki/Daftar_gubernur_dan_wakil_gubernur_petahana_di_Indonesia,2022-07-05,Q54805204-7373AB3C-B75C-4626-8C3D-3DF1A8B3437D
Q112111127,Al Muktabar,Q74520759,Gubernur Banten,Q3540,Banten,2022-05-12,,,Q112111127-023535AE-A377-4D7A-9D85-CCAFB9E2B61E
Q25467863,Rohidin Mersyah,Q102251454,Gubernur Bengkulu,Q1890,Bengkulu,2021-02-25,,,Q25467863-063C5CBC-BE0C-44B4-81C9-359F6FC8FD97
Q2669342,Hamengkubawana X,Q102251455,Gubernur Daerah Istimewa Yogyakarta,Q3741,Daerah Istimewa Yogyakarta,1998-10-03,https://id.wikipedia.org/wiki/Daftar_gubernur_dan_wakil_gubernur_petahana_di_Indonesia,2022-07-05,Q2669342-28ff7cdb-40d3-3d6a-bf02-b4c237844291
Q111982395,Hamka Hendra Noer,Q102251456,Gubernur Gorontalo,Q5067,Gorontalo,2022-05-12,,,Q111982395-83CA6AC6-954C-4569-A6B6-B46D991EF106
Q4263230,Anies Rasyid Baswedan,Q54239443,Gubernur Daerah Khusus Ibukota Jakarta,Q3630,Jakarta,2017-10-16,https://id.wikipedia.org/wiki/Daftar_gubernur_dan_wakil_gubernur_petahana_di_Indonesia,2022-07-05,Q4263230-17931FEB-0E23-431F-8D7B-6706CA8A50FC
Q25466192,Al Haris,Q97057913,Q97057913,Q2051,Jambi,2021-07-07,,,Q25466192-26d812ae-4a67-4105-4c2f-699e22ac6789
Q7333042,Ridwan Kamil,Q56843107,Gubernur Jawa Barat,Q3724,Jawa Barat,2018-10-01,,,Q7333042-a4273703-41a0-5378-0a3c-98da38539b89
Q12483474,Ganjar Pranowo,Q74372673,Gubernur Jawa Tengah,Q3557,Jawa Tengah,2013-08-23,,,Q12483474-148ebf68-4c89-d8ea-2a3a-0dfda1d86ba2
Q12491600,Khofifah Indar Parawansa,Q75697178,Gubernur Jawa Timur,Q3586,Jawa Timur,2019-02-13,,,Q12491600-59be091e-20a0-4e39-aa46-0549e0a47d32
Q17411498,Sutarmidji,Q102251459,Gubernur Kalimantan Barat,Q3916,Kalimantan Barat,2018-09-05,,,Q17411498-A2F9517E-62B7-42BC-BC2A-FEA2C57675AF
Q25467522,Sahbirin Noor,Q102251461,Gubernur Kalimantan Selatan,Q3906,Kalimantan Selatan,2021-08-25,,,Q25467522-d87e9028-42c6-acfa-8820-afdb0944e2df
Q25469637,Sugianto Sabran,Q65941697,Gubernur Kalimantan Tengah,Q3891,Kalimantan Tengah,2016-05-25,,,Q25469637-0C2930B3-8338-4F3D-AF45-61D4A3BC0DB1
Q12486828,Isran Noor,Q102251462,Gubernur Kalimantan Timur,Q3899,Kalimantan Timur,2018-10-01,,,Q12486828-988B7A2D-C33B-41AB-AF1E-CA1A8CFF6E78
