item,itemLabel,startDate,endDate,sourceDate,psid
Q3107476,Juwono Sudarsono,1999-10-29,2000-08-26,,Q3107476-A2EF09AB-84D6-4281-84C4-6928C06447F0
Q6892160,Mahfud M.D.,2000-08-26,2001-07-20,2022-05-28,Q6892160-93BDD41B-5CE8-4C4D-8FBB-81DC762B76CB
Q4694586,Agum Gumelar,2001-07-20,2001-07-23,,Q4694586-98276802-9A7D-4232-8BAB-4A79A0ADCAC4
Q112150094,Matori Abdul Jalil,2001-08-10,2004-10-20,2022-05-28,Q112150094-0906E476-B86B-4D89-AA2C-A8396F92BBCD
Q3107476,Juwono Sudarsono,2004-10-21,2009-10-20,,Q3107476-DB1B92A4-2428-47A8-8069-2BC552F6454B
Q4251398,Purnomo Yusgiantoro,2009-10-22,2014-10-20,,Q4251398-11C46BBD-2B4B-44F7-854D-E1F5B9A260CE
Q7419814,Ryamizard Ryacudu,2014-10-27,2019-10-20,,Q7419814-E6C52D7A-A5EE-42BA-9800-BC8C1877BAA8
Q2107268,Prabowo Subianto,2019-10-23,,,Q2107268-7A0A1C7C-2DE6-4D64-9234-D5028EC1AFE4
