item,itemLabel,startDate,endDate,cabinet
Q3107476,Juwono Sudarsono,1999-10-29,2000-08-26,Q4201917
Q6892160,Mahfud M.D.,2000-08-26,2001-07-20,Q4201917
Q4694586,Agum Gumelar,2001-07-20,2001-07-23,Q4201917
,Matori Abdul Jalil,2001-08-10,2004-10-20,Q4201259
Q3107476,Juwono Sudarsono,2004-10-21,2009-10-20,Q4201190
Q4251398,Purnomo Yusgiantoro,2009-10-22,2014-10-20,Q4258723
Q7419814,Ryamizard Ryacudu,2014-10-27,2019-10-20,Q18342125
Q2107268,Prabowo Subianto,2019-10-23,,Q71682639
