id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q11755916,President of Indonesia,Q252,Q252,Q3543445,Q271015,1945-08-18,,,,President of Indonesia
Q3543445,Vice President of Indonesia,Q252,Q252,,,1945-08-18,,,,Vice President of Indonesia
Q108300192,Minister of Agrarian and Spatial Planning,Q252,Q252,,Q12479861,,,,,
Q108298207,Minister of Agriculture,Q252,Q252,,Q12479880,,,,,
Q57729161,Minister of Communication and Information,Q252,Q252,,Q12479866,,,,,
Q108299534,Minister of Cooperatives and Small and Medium Enterprises,Q252,Q252,,Q16187912,,,,,
Q29076377,Minister of Defence,Q252,Q252,,Q11046530,,,,,
Q19752438,Minister of Education and Culture,Q252,Q252,,,,,,,
Q12479877,"Minister of Education, Culture, Research and Technology",Q252,Q252,,,,,,,
Q108298100,Minister of Energy and Mineral Resources,Q252,Q252,,Q12479868,,,,,
Q57948304,Finance Minister of Indonesia,Q252,,,,,,,,
Q19827130,Minister of Foreign Affairs,Q252,Q252,,,,,,,
Q108298729,Minister of Health,Q252,Q252,,Q10976127,,,,,
Q12479867,Minister of Home Affairs,Q252,Q252,,,,,,,List of Ministers of Home Affairs (Indonesia)
Q108299819,Minister of Housing,Q252,Q252,,Q25453300,,,,,
Q108300310,Minister of Industry,Q252,Q252,,Q19725118,,,,,
Q89101302,Indonesia's Minister of Industry and Trade,Q252,Q252,,Q19725118,,,,,
Q108299924,Minister of Investment,Q252,Q252,,,,,,,
Q53920130,Minister of Law and Human Rights,Q252,Q252,,Q6628659,,,,,
Q108298641,Minister of Manpower,Q252,Q252,,Q19725113,,,,,
Q108299521,Minister of National Development Planning of Indonesia,Q252,Q252,,Q61118185,,,,,
Q108298341,Minister of of Maritime Affairs and Fisheries,Q252,Q252,,Q12479865,,,,,
Q108298684,Minister of Public Works and Public Housing,Q252,Q252,,Q85990453,,,,,
Q58856162,Minister of Religious Affairs,Q252,Q252,,,1945-08-19,,,,
Q12479860,list of Ministers of Religious Affairs of the Republic of Indonesia,Q252,,,,,,,,
Q108299386,Minister of Research and Technology,Q252,Q252,,Q11046428,,,,,
Q108298107,Minister of Social Affairs,Q252,Q252,,Q19725119,,,,,
Q108299788,Minister of State Apparatus Empowerment and Bureaucratic Reform,Q252,Q252,,Q19725115,,,,,
Q108299837,Minister of State-Owned Enterprises,Q252,Q252,,Q12479862,,,,,
Q53938865,Minister of State Secretariat,Q252,,,Q12479882,,,,,
Q108298235,Minister of the Environment and Forestry,Q252,Q252,,Q12479864,,,,,
Q108299861,Minister of Tourism and Creative Economy,Q252,Q252,,Q12479872,,,,,
Q108298162,Minister of Trade,Q252,Q252,,Q19725117,,,,,
Q57946840,Minister of Transportation,Q252,Q252,,Q12479879,,,,,
Q108299796,"Minister of Villages, Development of Disadvantaged Regions and Transmigration",Q252,Q252,,Q12479874,,,,,
Q108299778,Minister of Women’s Empowerment and Child Protection,Q252,Q252,,Q12479875,,,,,
Q108299899,Minister of Youth and Sports,Q252,Q252,,Q12479876,,,,,
Q108300303,Coordinating Minister for Economic Affairs of Indonesia,Q252,Q252,,Q12479869,,,,,
Q108300280,Coordinating Minister for Human Development and Cultural Affairs,Q252,Q252,,,,,,,
Q108300471,Coordinating Minister for Maritime Affairs and Investment,Q252,Q252,,,,,,,
Q108300292,"Coordinating Minister for Political, Legal, and Security Affairs",Q252,Q252,,Q12479871,,,,,
Q108300193,Head of the National Land Agency,Q252,Q252,,,,,,,
Q108300184,Head of the National Development Planning Agency,Q252,Q252,,,,,,,
Q108299939,Head of the Investment Coordinating Board,Q252,Q252,,,,,,,
Q108300203,Cabinet Secretary,Q252,Q252,,Q12479911,,,,,
Q108300235,Presidential Chief of Staff,Q252,Q252,,,,,,,
Q7433253,Leader of the House of Representatives of Indonesia,,,,,1950,,,,Speakers of the People's Representative Council
Q12490460,Attorney General of Indonesia,Q252,,,Q56388152,,,,,Attorney General's Office of Indonesia
Q11281667,Commander of the Indonesian National Armed Forces,Q252,,,,1945,,,,Commander of the Indonesian National Armed Forces
Q25453522,Director of the State Intelligence Agency of Indonesia,,,,,,,,,
Q11282034,Chief of the Indonesian National Police,Q252,Q252,,,,,,,Chief of the Indonesian National Police
Q109534226,Governor of Bank Indonesia,Q252,,,,,,,,
