wanted,position,positionid,from,start,end
Q12497198,Minister of Investment,Q108299924,Q65204620,2021-04-28,
Q17411689,Mayor of Surabaya,Q108299125,Q104417591,2021-02-26,
Q111982389,Governor of North Sulawesi,Q20668532,Q25467525,2021-02-15,
Q72061436,Minister of Social Affairs,Q108298107,Q12522317,2020-12-23,
Q12521705,Chief of the National Police,Q11282034,Q12486250,2019-11-01,2021-01-27
Q12471140,Minister of Industry and Trade,Q89101302,Q12470931,2019-10-23,
Q12521725,Minister of Law and Human Rights,Q53920130,Q12525045,2019-10-23,
Q16166804,Minister of Cooperatives and Small and Medium Enterprises,Q108299534,Q12521107,2019-10-23,
Q16182287,Minister of Energy and Mineral Resources,Q108298100,Q12472460,2019-10-23,
Q16188358,Minister of Religious Affairs,Q58856162,Q12482714,2019-10-23,2020-12-23
Q17410392,Minister of Tourism and Creative Economy,Q108299861,Q12524647,2019-10-23,2020-12-23
Q17411488,Minister of of Maritime Affairs and Fisheries,Q108298341,Q72086432,2019-10-23,2020-11-26
Q18421366,Minister of Research and Technology,Q108299386,Q16169810,2019-10-23,2021-04-28
Q18421480,Minister of Women’s Empowerment and Child Protection,Q108299778,Q72117992,2019-10-23,
Q25462546,Chairman of the Investment Coordinating Board,Q108299939,Q65204620,2019-10-23,
Q4261409,Coordinating Minister for Economic Affairs,Q108300303,Q12471140,2019-10-23,
Q6856490,Minister of State-Owned Enterprises,Q108299837,Q5388188,2019-10-23,
Q731740,"Coordinating Minister for Political, Legal, and Security Affairs",Q108300292,Q6892160,2019-10-23,
Q85994840,Minister of State Apparatus Empowerment and Bureaucratic Reform,Q108299788,Q12521725,2019-10-23,2022-07-01
Q12473894,Speaker of the House of Representatives,Q7433253,Q15646541,2019-10-01,
Q56399984,Governor of Riau,Q15939406,Q61119218,2019-02-20,
Q17410805,Chief of Staff of the Army,Q14917366,Q18421241,2018-11-22,2021-11-17
Q17411216,Governor of Southeast Sulawesi,Q102251478,Q12471485,2018-09-05,
Q55081143,Governor of Southeast Sulawesi,Q102251478,Q12471485,2018-09-05,
Q16773556,Minister of Social Affairs,Q108298107,Q12470931,2018-08-24,2019-10-20
Q12521107,Presidential Chief of Staff,Q108300235,Q12498731,2018-01-17,
Q12483575,Commander of the National Armed Forces,Q11281667,Q25469937,2017-12-08,2021-11-17
Q12481562,Vice Minister of Foreign Affairs,Q57352004,Q4119908,2017-10-27,2019-10-27
Q19745886,Governor of Special Capital Region of Jakarta,Q54239443,Q4263230,2017-10-16,
Q19745886,Vice Governor of Jakarta,Q12523919,Q7416335,2017-10-16,2018-09-18
Q10860431,Governor of West Papua,Q75697563,Q16175168,2017-05-12,2022-05-12
Q4262592,Member of the 2014-2019 People's Representative Council of Indonesia,Q56057048,Q16162516,2017-04-06,2019-09-30
Q19748666,Chief of Staff of the Air Force,Q11284537,Q25469937,2017-01-08,2017-12-08
Q7650060,Head of the State Intelligence Agency,Q25453522,Q12477379,2016-09-09,
Q12508773,Coordinating Minister for Maritime Affairs and Investment,Q108300471,Q14917375,2016-07-27,
Q12515797,Minister of National Development Planning,Q108299521,Q16169810,2016-07-27,2019-10-20
Q16182287,Minister of Transportation,Q57946840,Q28723650,2016-07-27,
Q19745898,Minister of Industry,Q108300310,Q12471140,2016-07-27,2019-10-20
Q4263230,Minister of Education and Culture,Q19752438,Q26236935,2016-07-27,2019-10-20
Q25464492,Governor of North Sulawesi,Q20668532,Q25467525,2016-02-12,2021-02-12
Q4260406,Minister of the Environment and Forestry,Q108298235,Q18421248,2014-10-27,
Q5247112,Minister of Agriculture,Q108298207,Q19752868,2014-10-27,2019-10-23
Q5285224,Minister of Public Works and Public Housing,Q108298684,Q18421298,2014-10-27,
Q12519869,Governor of North Maluku,Q102251470,Q16162222,2014-05-05,
Q2227801,Governor of Maluku,Q74254596,Q17411195,2014-03-10,2019-03-10
Q19725832,ambassador to Saudi Arabia,Q16157805,Q4119908,2014-02-14,2014-10-26
Q5207888,Mayor of Bandung,Q56636166,Q7333042,2013-09-16,2018-09-04
Q4261769,Governor of Central Java,Q74372673,Q12483474,2013-08-23,
Q4261409,Governor of Bank Indonesia,Q109534226,Q3498269,2013-05-24,2018-05-24
Q7238276,Chief of Staff of the Army,Q14917366,Q12498731,2013-05-20,2013-08-30
Q12484981,Governor of Gorontalo,Q102251456,Q10860321,2012-01-16,2022-05-12
Q16169836,Mayor of Surabaya,Q108299125,Q12522317,2010-09-28,2020-12-23
Q4201732,Minister of State Secretary,Q53938865,Q13097278,2009-10-22,2014-10-20
Q12487908,Chief Justice of the Constitutional Court,Q16187718,Q6892160,2008-08-19,2013-04-03
Q12471812,Governor of South Sulawesi,Q74374433,Q10860301,2008-04-08,2018-04-08
Q4838920,ambassador to Egypt,Q57345271,Q4119908,2007-10-30,2011-06-10
Q4016590,Commander of the National Armed Forces,Q11281667,Q4196055,2006,2007
Q12481749,Governor of Banten,Q74520759,Q7296050,2005-10-20,2014-05-13
Q25467029,Governor of North Sulawesi,Q20668532,Q10860275,2005-08-13,2010-08-13
Q12495706,Governor of Maluku,Q74254596,Q10860275,2002-12-11,2003-09-15
Q4250945,"Minister of Education, Culture, Research and Technology",Q12479877,Q11109918,2001-08-10,2004-10-20
Q76354,Minister of Industry and Trade,Q89101302,Q14917375,2000-08-24,2001-07-23
Q12473146,mayor of Medan,Q100600885,Q12470534,2000-04-01,2008-08-20
Q57405,Minister of Energy and Mineral Resources,Q108298100,Q4251398,2000,2001
