wanted,position,positionid,from,start,end
Q107001110,Chief of Staff of the Army,Q14917366,Q18421241,2018-11-22,2021-11-17
Q72061436,Minister of Social Affairs,Q108298107,Q12470931,2018-08-24,2019-10-20
Q12496110,Vice Minister of Foreign Affairs,Q57352004,Q4119908,2017-10-27,2019-10-27
Q19745391,Chief of Staff of the Air Force,Q11284537,Q25469937,2017-01-08,2017-12-08
Q16182287,Minister of Energy and Mineral Resources,Q108298100,Q14917375,2016-08-15,2016-10-14
Q12470931,Minister of Industry,Q108300310,Q12471140,2016-07-27,2019-10-20
Q25469937,Head of the National Land Agency,Q108300193,Q12515797,2016-07-27,2022-06-15
Q111982389,Governor of North Sulawesi,Q20668532,Q25467525,2016-02-12,2021-02-12
Q731740,"Coordinating Minister for Political, Legal, and Security Affairs",Q108300292,Q14917375,2015-08-12,2016-07-27
Q12521107,Presidential Chief of Staff,Q108300235,Q14917375,2014-12-31,2015-09-02
Q28724377,ambassador to Saudi Arabia,Q16157805,Q4119908,2014-02-14,2014-10-26
Q17410890,Mayor of Bandung,Q56636166,Q7333042,2013-09-16,2018-09-04
Q12483575,Commander of the National Armed Forces,Q11281667,Q12498731,2013-08-30,2015-07-08
Q25464492,Governor of North Sulawesi,Q20668532,Q10860275,2010-09-14,2015-09-20
Q5285224,Minister of Housing,Q108299819,Q12516581,2009-10-22,2011-10-19
Q17410743,Chief Justice of the Constitutional Court,Q16187718,Q6892160,2008-08-19,2013-04-03
Q19729827,ambassador to Egypt,Q57345271,Q4119908,2007-10-30,2011-06-10
Q17580142,Permanent Representative to the United Nations,Q7169240,Q58290,2007-09-05,2009-10-22
Q15966789,Mayor of Surakarta,Q54631085,Q3318231,2005-07-28,2012-10-01
Q4258761,Minister of Energy and Mineral Resources,Q108298100,Q4251398,2004,2009
Q7069974,Governor of Southeast Sulawesi,Q102251478,Q12471485,2003-07-16,2008-02-18
Q12489618,Governor of Maluku,Q74254596,Q10860275,2002-12-11,2003-09-15
Q11120678,"Minister of Education, Culture, Research and Technology",Q12479877,Q11109918,2001-08-10,2004-10-20
Q4201732,Minister of Transportation,Q57946840,Q4694586,2001-08-10,2004-10-20
Q8061915,Minister of Law and Human Rights,Q53920130,Q6892160,2001-07-20,2001-07-23
Q6856490,Minister of Industry and Trade,Q89101302,Q14917375,2000-08-24,2001-07-23
Q12507711,mayor of Medan,Q100600885,Q12470534,2000-04-01,2008-08-20
Q76344,Vice President,Q3543445,Q76179,1999-10-26,2001-07-23
Q12471489,Governor of Central Java,Q74372673,Q3502316,1998-08-24,2007-09-28
